medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,date_of_birth,Age this year,place_of_birth_wikidata_id,place_of_birth,place_of_birth_county_in_wikidata_id,place_of_birth_county,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of,sport
Q33835139,https://en.wikipedia.org/wiki/Kaylee_McKeown,Kaylee McKeown,bronze,Q114244863,Australia at the 2024 Summer Olympics,Q408,Australia,AU,AUS,12/7/2001,23.00,Q1026184,Redcliffe,Q1064985,City of Moreton Bay,Q6581072,female,Q117156564,https://en.wikipedia.org/wiki/Swimming_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_200_metre_individual_medley,swimming at the 2024 Summer Olympics – women's 200 metre individual medley,swimming at the 2024 Summer Olympics,swimming
Q110155067,https://en.wikipedia.org/wiki/Katharine_Berkoff,Katharine Berkoff,gold,Q113581713,United States at the 2024 Summer Olympics,Q30,United States of America,US,USA,28/1/2001,23.00,Q189602,Missoula,Q496558,Missoula County,Q6581072,female,Q117156582,https://en.wikipedia.org/wiki/Swimming_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_4_%C3%97_100_metre_medley_relay,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay,swimming at the 2024 Summer Olympics,swimming
Q33835139,https://en.wikipedia.org/wiki/Kaylee_McKeown,Kaylee McKeown,silver,Q114244863,Australia at the 2024 Summer Olympics,Q408,Australia,AU,AUS,12/7/2001,23.00,Q1026184,Redcliffe,Q1064985,City of Moreton Bay,Q6581072,female,Q117156582,https://en.wikipedia.org/wiki/Swimming_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_4_%C3%97_100_metre_medley_relay,swimming at the 2024 Summer Olympics – women's 4 × 100 metre medley relay,swimming at the 2024 Summer Olympics,swimming
Q33835139,https://en.wikipedia.org/wiki/Kaylee_McKeown,Kaylee McKeown,bronze,Q114244863,Australia at the 2024 Summer Olympics,Q408,Australia,AU,AUS,12/7/2001,23.00,Q1026184,Redcliffe,Q1064985,City of Moreton Bay,Q6581072,female,Q117156584,https://en.wikipedia.org/wiki/Swimming_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_4_%C3%97_100_metre_medley_relay,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay,swimming at the 2024 Summer Olympics,swimming
Q115754949,https://en.wikipedia.org/wiki/Joshua_Yong,Joshua Yong,bronze,Q114244863,Australia at the 2024 Summer Olympics,Q408,Australia,AU,AUS,24/7/2001,23.00,Q9279,Bandar Seri Begawan,Q153009,Brunei-Muara District,Q6581097,male,Q117156584,https://en.wikipedia.org/wiki/Swimming_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_4_%C3%97_100_metre_medley_relay,swimming at the 2024 Summer Olympics – mixed 4 × 100 metre medley relay,swimming at the 2024 Summer Olympics,swimming
Q32772779,https://en.wikipedia.org/wiki/Sun_Yingsha,Sun Yingsha,silver,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,4/11/2000,23.00,Q58401,Shijiazhuang,Q21208,Hebei,Q6581072,female,Q117156617,https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_singles,table tennis at the 2024 Summer Olympics – women's singles,table tennis at the 2024 Summer Olympics,table tennis
Q32772779,https://en.wikipedia.org/wiki/Sun_Yingsha,Sun Yingsha,gold,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,4/11/2000,23.00,Q58401,Shijiazhuang,Q21208,Hebei,Q6581072,female,Q117156621,https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_team,table tennis at the 2024 Summer Olympics – women's team,table tennis at the 2024 Summer Olympics,table tennis
Q32772779,https://en.wikipedia.org/wiki/Sun_Yingsha,Sun Yingsha,gold,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,4/11/2000,23.00,Q58401,Shijiazhuang,Q21208,Hebei,Q6581072,female,Q117156616,https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_doubles,Table tennis at the 2024 Summer Olympics – Mixed doubles,table tennis at the 2024 Summer Olympics,table tennis
Q128035132,https://en.wikipedia.org/wiki/Kim_Kum-yong,Kim Kum-yong,silver,Q123010892,North Korea at the 2024 Summer Olympics,Q423,North Korea,KP,PRK,17/8/2001,23.00,Q18808,Pyongyang,Q423,North Korea,Q6581072,female,Q117156616,https://en.wikipedia.org/wiki/Table_tennis_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_doubles,Table tennis at the 2024 Summer Olympics – Mixed doubles,table tennis at the 2024 Summer Olympics,table tennis
Q115281159,https://en.wikipedia.org/wiki/Liang_Yushuai,Liang Yushuai,bronze,Q114672489,China at the 2024 Summer Olympics,Q148,People's Republic of China,CN,CHN,10/9/2000,23.00,NA,NA,NA,NA,Q6581097,male,Q116496093,https://en.wikipedia.org/wiki/Taekwondo_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_68_kg,taekwondo at the 2024 Summer Olympics – men's 68 kg,taekwondo at the 2024 Summer Olympics,taekwondo
Q108830663,"https://en.wikipedia.org/wiki/Kim_Yu-jin_(taekwondo,_born_2000)",Kim Yu-jin,gold,Q114753595,South Korea at the 2024 Summer Olympics,Q884,South Korea,KR,KOR,17/10/2000,23.00,Q50220,Danyang County,Q41066,North Chungcheong,Q6581072,female,Q116496083,https://en.wikipedia.org/wiki/Taekwondo_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_57_kg,taekwondo at the 2024 Summer Olympics – women's 57 kg,taekwondo at the 2024 Summer Olympics,taekwondo
Q77977043,https://en.wikipedia.org/wiki/Alth%C3%A9a_Laurin,Althéa Laurin,gold,Q114244785,France at the 2024 Summer Olympics,Q142,France,FR,FRA,1/9/2001,23.00,Q206961,Épinay-sur-Seine,Q1142326,Seine,Q6581072,female,Q116496100,https://en.wikipedia.org/wiki/Taekwondo_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_%2B67_kg,taekwondo at the 2024 Summer Olympics – women's +67 kg,taekwondo at the 2024 Summer Olympics,taekwondo
Q26840238,https://en.wikipedia.org/wiki/Iga_%C5%9Awi%C4%85tek,Iga Świątek,bronze,Q114244612,Poland at the 2024 Summer Olympics,Q36,Poland,PL,POL,31/5/2001,23.00,Q270,Warsaw,Q54169,Masovian Voivodeship,Q6581072,female,Q117156659,https://en.wikipedia.org/wiki/Tennis_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_singles,Tennis at the 2024 Summer Olympics – Women's singles,tennis at the 2024 Summer Olympics,tennis
Q61594997,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Mach%C3%A1%C4%8D,Tomáš Macháč,gold,Q114233084,Czech Republic at the 2024 Summer Olympics,Q213,Czech Republic,CZ,CZE,13/10/2000,23.00,Q827041,Beroun,Q10817104,NA,Q6581097,male,Q117156657,https://en.wikipedia.org/wiki/Tennis_at_the_2024_Summer_Olympics_%E2%80%93_Mixed_doubles,Tennis at the 2024 Summer Olympics – Mixed doubles,tennis at the 2024 Summer Olympics,tennis
Q96737806,https://en.wikipedia.org/wiki/J%C3%BAlia_Bergmann,Júlia Bergmann,bronze,Q113504733,Brazil at the 2024 Summer Olympics,Q155,Brazil,BR,BRA,21/2/2001,23.00,Q1726,Munich,Q10562,Upper Bavaria,Q6581072,female,Q115799688,https://en.wikipedia.org/wiki/Volleyball_at_the_2024_Summer_Olympics_%E2%80%93_Women%27s_tournament,volleyball at the 2024 Summer Olympics – women's tournament,volleyball at the 2024 Summer Olympics,volleyball
Q128487502,https://en.wikipedia.org/wiki/Petar_Jak%C5%A1i%C4%87,Petar Jakšić,gold,Q114753567,Serbia at the 2024 Summer Olympics,Q403,Serbia,RS,SRB,20/7/2001,23.00,Q3711,Belgrade,Q2074197,City of Belgrade,Q6581097,male,Q115799685,https://en.wikipedia.org/wiki/Water_polo_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,water polo at the 2024 Summer Olympics – men's tournament,water polo at the 2024 Summer Olympics,water polo
Q128487062,https://en.wikipedia.org/wiki/Vladimir_Mi%C5%A1ovi%C4%87,Vladimir Mišović,gold,Q114753567,Serbia at the 2024 Summer Olympics,Q403,Serbia,RS,SRB,1/1/2001,23.00,Q205432,Pančevo,Q1041943,City of Pančevo,Q6581097,male,Q115799685,https://en.wikipedia.org/wiki/Water_polo_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_tournament,water polo at the 2024 Summer Olympics – men's tournament,water polo at the 2024 Summer Olympics,water polo
